MTR-SN,Coeff-A,Coeff-B,Coeff-C,Calibration Date,comments,Cal. Residual,comments,,
3322,1.0058567684E-03,5.6007391173E-04,1.7181328730E-06,2004-01-29,TB104030,-0.0016,,,
3322,1.0274513238E-03,5.5281563625E-04,1.8400553582E-06,2003-03-25,TB103084,0.0013,,,
3322,4.9694123062E-10,9.0171260078E-04,-4.1158211489E-06,2002-01-16,TB102016,-0.0294,,,
3328,1.0545420887E-03,5.4613583569E-04,1.9856880133E-06,2004-11-08,TB104313,-0.0009,,,
3328,1.0566585934E-03,5.4532810991E-04,2.0027042168E-06,2004-01-29,TB104030,-0.0011,,,
3328,1.0440017543E-03,5.4973063259E-04,1.9259572399E-06,2002-01-19,TB102019,0.0009,,,
3333,1.0722469184E-03,5.4483825106E-04,2.0339900362E-06,2002-01-19,TB102019,-0.0006,high residuals for all MTRs on this run,,
4002,1.0284992657E-03,5.5348130584E-04,1.8533583532E-06,2004-05-17,TB104139,-0.0013,,,
4003,1.1054486051E-03,5.2877074818E-04,2.2992444711E-06,2014-06-20,TB114171,0.0016,,,
4003,1.0787329176E-03,5.3783022189E-04,2.1447375882E-06,2013-04-19,TB113019,-0.0019,,,
4003,1.0912130415E-03,5.3376992403E-04,2.2103554317E-06,2004-03-30,TB104091,-0.0019,,,
4004,1.1238984122E-03,5.2071504324E-04,2.4348404934E-06,2013-04-17,TB113107,0.0032,,,
4004,1.1056072590E-03,5.2708518461E-04,2.3200128488E-06,2011-07-21,TB104091,0.0005,,,
4004,1.1106555522E-03,5.2542192879E-04,2.3499919021E-06,2010-02-03,TB110034,0.0011,,,
4004,1.0996304499E-03,5.2920497491E-04,2.2836723210E-06,2008-01-18,TB108019,-0.0007,,,
4004,1.1162672222E-03,5.2363417484E-04,2.3764619891E-06,2006-06-30,TB106174,0.0005,,,
4004,1.0941431955E-03,5.3113605699E-04,2.2489655133E-06,2004-03-30,TB104091,-0.0020,,,
4006,1.0686937212E-03,5.4285275152E-04,2.0522296926E-06,2004-05-17,TB104139,0.0013,,,
4008,1.1037960113E-03,5.2867359073E-04,2.2913805683E-06,2014-06-20,TB114171,0.0020,,,
4008,1.0449831631E-03,5.4883266700E-04,1.9415063368E-06,2004-05-17,TB104139,0.0014,,,
4008,1.0899076904E-03,5.3356933797E-04,2.2025588128E-06,2004-03-30,TB104091,-0.0021,,,
4009,1.0546077666E-03,5.4551346628E-04,2.0005692735E-06,2004-05-17,TB104139,0.0014,,,
4010,1.0394965957E-03,5.5231314089E-04,1.8951815960E-06,2004-05-17,TB104139,0.0016,,,
4011,1.0389135177E-03,5.4936855700E-04,1.9361234340E-06,2004-05-17,TB104139,-0.0013,,,
4014,1.0916510544E-03,5.3075101498E-04,2.2574524696E-06,2004-03-30,TB104091,-0.0021,,,
