time,15ckpitae_s37_0001m.unqcd,15ckpitae_s37_0001m.unqcd.localtime,15ckpitae_s37_0025m.unqcd
2015-08-09 13:00:00,30.613,30.833,32.113
2015-08-09 14:00:00,30.596,30.875,32.172
2015-08-09 15:00:00,30.634,30.965,32.176
2015-08-09 16:00:00,30.647,31.059,32.178
2015-08-09 17:00:00,30.663,31.054,32.175
2015-08-09 18:00:00,30.682,31.056,32.169
2015-08-09 19:00:00,30.757,31.065,32.165
2015-08-09 20:00:00,30.833,31.073,32.171
2015-08-09 21:00:00,30.875,31.078,32.18
2015-08-09 22:00:00,30.965,31.083,32.178
2015-08-09 23:00:00,31.059,31.09,32.182
2015-08-10 00:00:00,31.054,31.097,32.196
2015-08-10 01:00:00,31.056,31.104,32.2
2015-08-10 02:00:00,31.065,31.111,32.2
2015-08-10 03:00:00,31.073,31.118,32.189
2015-08-10 04:00:00,31.078,31.126,32.188
2015-08-10 05:00:00,31.083,31.13,32.182
2015-08-10 06:00:00,31.09,31.13,32.174
2015-08-10 07:00:00,31.097,31.125,32.167
2015-08-10 08:00:00,31.104,31.122,32.173
2015-08-10 09:00:00,31.111,31.109,32.182
2015-08-10 10:00:00,31.118,31.103,32.182
2015-08-10 11:00:00,31.126,31.1,32.189
2015-08-10 12:00:00,31.13,31.097,32.186
2015-08-10 13:00:00,31.13,31.088,32.185
2015-08-10 14:00:00,31.125,31.081,32.194
2015-08-10 15:00:00,31.122,31.074,32.192
2015-08-10 16:00:00,31.109,31.056,32.191
2015-08-10 17:00:00,31.103,31.033,32.191
2015-08-10 18:00:00,31.1,31.014,32.191
2015-08-10 19:00:00,31.097,31.011,32.195
2015-08-10 20:00:00,31.088,31.006,32.201
2015-08-10 21:00:00,31.081,30.996,32.191
2015-08-10 22:00:00,31.074,31.008,32.192
2015-08-10 23:00:00,31.056,30.934,32.193
2015-08-11 00:00:00,31.033,30.87,32.189
2015-08-11 01:00:00,31.014,30.856,32.19
2015-08-11 02:00:00,31.011,30.858,32.181
2015-08-11 03:00:00,31.006,30.861,32.172
2015-08-11 04:00:00,30.996,30.859,32.17
2015-08-11 05:00:00,31.008,30.854,32.164
2015-08-11 06:00:00,30.934,30.853,32.166
2015-08-11 07:00:00,30.87,30.858,32.166
2015-08-11 08:00:00,30.856,30.865,32.167
2015-08-11 09:00:00,30.858,30.879,32.167
2015-08-11 10:00:00,30.861,30.895,32.166
