time,24bspr2a_rcmsg_0052m,24bspr2a_s16_0001m
2024-06-06 04:00:00,323.099,338.135
2024-06-06 05:00:00,322.319,338.869
2024-06-06 06:00:00,320.999,340.266
2024-06-06 07:00:00,320.766,339.405
2024-06-06 08:00:00,325.44,339.072
2024-06-06 09:00:00,327.464,338.906
2024-06-06 10:00:00,327.415,338.28
2024-06-06 11:00:00,327.894,337.811
2024-06-06 12:00:00,328.016,337.285
2024-06-06 13:00:00,328.814,337.132
2024-06-06 14:00:00,329.487,336.922
2024-06-06 15:00:00,330.544,337.295
2024-06-06 16:00:00,331.135,338.206
2024-06-06 17:00:00,331.605,338.961
2024-06-06 18:00:00,331.77,339.405
2024-06-06 19:00:00,330.801,339.015
2024-06-06 20:00:00,325.29,338.596
2024-06-06 21:00:00,320.902,335.46
2024-06-06 22:00:00,318.426,333.864
2024-06-06 23:00:00,317.496,333.264
2024-06-07 00:00:00,313.415,332.706
2024-06-07 01:00:00,315.133,331.883
2024-06-07 02:00:00,316.084,331.99
2024-06-07 03:00:00,316.229,332.616
2024-06-07 04:00:00,316.551,333.821
2024-06-07 05:00:00,316.896,337.556
2024-06-07 06:00:00,317.643,341.77
2024-06-07 07:00:00,317.982,343.142
2024-06-07 08:00:00,319.617,341.195
2024-06-07 09:00:00,320.613,338.503
2024-06-07 10:00:00,321.819,339.092
2024-06-07 11:00:00,321.401,337.766
2024-06-07 12:00:00,321.162,336.959
2024-06-07 13:00:00,321.286,337.158
2024-06-07 14:00:00,321.367,335.992
2024-06-07 15:00:00,322.46,335.58
2024-06-07 16:00:00,323.675,341.357
2024-06-07 17:00:00,324.602,349.436
2024-06-07 18:00:00,325.342,350.275
2024-06-07 19:00:00,325.092,349.811
2024-06-07 20:00:00,322.531,348.69
2024-06-07 21:00:00,319.067,346.966
2024-06-07 22:00:00,318.154,336.705
2024-06-07 23:00:00,316.506,335.747
2024-06-08 00:00:00,310.164,332.038
2024-06-08 01:00:00,305.694,331.525
2024-06-08 02:00:00,302.977,331.687
2024-06-08 03:00:00,308.588,332.299
2024-06-08 04:00:00,307.963,332.532
2024-06-08 05:00:00,310.113,333.279
2024-06-08 06:00:00,314.966,337.55
2024-06-08 07:00:00,316.022,341.998
2024-06-08 08:00:00,317.739,343.876
2024-06-08 09:00:00,318.725,345.624
2024-06-08 10:00:00,319.131,347.2
2024-06-08 11:00:00,319.137,346.634
