time,15ckpitae_s37_0001m,15ckpitae_s37_0025m
2015-08-01 11:00:00,30.99,32.386
2015-08-01 12:00:00,30.976,32.387
2015-08-01 13:00:00,30.901,32.368
2015-08-01 14:00:00,30.794,32.395
2015-08-01 15:00:00,30.846,32.371
2015-08-01 16:00:00,30.905,32.37
2015-08-01 17:00:00,30.784,32.362
2015-08-01 18:00:00,30.689,32.356
2015-08-01 19:00:00,30.631,32.344
2015-08-01 20:00:00,30.639,32.347
2015-08-01 21:00:00,30.653,32.352
2015-08-01 22:00:00,30.668,32.354
2015-08-01 23:00:00,30.68,32.284
2015-08-02 00:00:00,30.68,32.176
2015-08-02 01:00:00,30.71,32.213
2015-08-02 02:00:00,30.716,32.287
2015-08-02 03:00:00,30.691,32.348
2015-08-02 04:00:00,30.686,32.356
2015-08-02 05:00:00,30.708,32.359
2015-08-02 06:00:00,30.747,32.351
2015-08-02 07:00:00,30.762,32.311
2015-08-02 08:00:00,30.806,32.301
2015-08-02 09:00:00,30.852,32.3
2015-08-02 10:00:00,30.849,32.26
2015-08-02 11:00:00,30.82,32.239
2015-08-02 12:00:00,30.83,32.218
2015-08-02 13:00:00,30.852,32.313
2015-08-02 14:00:00,30.917,32.339
2015-08-02 15:00:00,30.99,32.343
2015-08-02 16:00:00,30.974,32.341
2015-08-02 17:00:00,30.965,32.317
2015-08-02 18:00:00,30.954,32.232
2015-08-02 19:00:00,30.961,32.277
2015-08-02 20:00:00,30.99,32.205
2015-08-02 21:00:00,30.96,32.139
2015-08-02 22:00:00,30.863,32.203
2015-08-02 23:00:00,30.949,32.304
2015-08-03 00:00:00,31.064,32.331
2015-08-03 01:00:00,31.076,32.345
2015-08-03 02:00:00,30.994,32.347
2015-08-03 03:00:00,30.998,32.284
2015-08-03 04:00:00,30.943,32.299
2015-08-03 05:00:00,30.941,32.297
2015-08-03 06:00:00,30.699,32.248
2015-08-03 07:00:00,30.639,32.23
2015-08-03 08:00:00,30.613,32.211
2015-08-03 09:00:00,30.61,32.132
2015-08-03 10:00:00,30.615,32.114
2015-08-03 11:00:00,30.617,32.13
2015-08-03 12:00:00,30.64,32.139
2015-08-03 13:00:00,30.668,32.107
2015-08-03 14:00:00,30.697,32.131
2015-08-03 15:00:00,30.758,32.168
2015-08-03 16:00:00,30.798,32.157
2015-08-03 17:00:00,30.688,32.198
2015-08-03 18:00:00,30.718,32.123
2015-08-03 19:00:00,30.842,32.175
2015-08-03 20:00:00,30.908,32.142
2015-08-03 21:00:00,30.737,32.173
2015-08-03 22:00:00,30.452,32.154
2015-08-03 23:00:00,30.446,32.165
2015-08-04 00:00:00,30.519,32.151
2015-08-04 01:00:00,30.718,32.166
2015-08-04 02:00:00,30.679,32.142
2015-08-04 03:00:00,30.55,32.046
2015-08-04 04:00:00,30.319,32.241
2015-08-04 05:00:00,30.256,32.23
2015-08-04 06:00:00,30.255,32.181
2015-08-04 07:00:00,30.278,32.163
2015-08-04 08:00:00,30.223,32.148
2015-08-04 09:00:00,30.228,32.132
2015-08-04 10:00:00,30.24,32.135
2015-08-04 11:00:00,30.269,32.173
2015-08-04 12:00:00,30.265,32.196
2015-08-04 13:00:00,30.29,32.211
2015-08-04 14:00:00,30.297,32.202
2015-08-04 15:00:00,30.288,32.22
2015-08-04 16:00:00,30.275,32.22
2015-08-04 17:00:00,30.179,32.218
2015-08-04 18:00:00,29.877,32.219
2015-08-04 19:00:00,29.673,32.258
2015-08-04 20:00:00,29.494,32.274
2015-08-04 21:00:00,29.465,32.261
2015-08-04 22:00:00,29.47,32.256
2015-08-04 23:00:00,29.492,32.267
2015-08-05 00:00:00,29.488,32.266
2015-08-05 01:00:00,29.489,32.212
2015-08-05 02:00:00,29.479,32.24
2015-08-05 03:00:00,29.458,32.124
2015-08-05 04:00:00,29.4,32.084
2015-08-05 05:00:00,29.321,32.226
2015-08-05 06:00:00,29.265,32.245
2015-08-05 07:00:00,29.25,32.269
2015-08-05 08:00:00,29.284,32.242
2015-08-05 09:00:00,29.383,32.16
2015-08-05 10:00:00,29.439,32.058
2015-08-05 11:00:00,29.486,31.922
2015-08-05 12:00:00,29.523,31.892
2015-08-05 13:00:00,29.53,31.994
2015-08-05 14:00:00,29.526,32.203
2015-08-05 15:00:00,29.507,32.19
2015-08-05 16:00:00,29.48,31.929
2015-08-05 17:00:00,29.403,31.862
2015-08-05 18:00:00,29.415,31.869
2015-08-05 19:00:00,29.5,31.989
2015-08-05 20:00:00,29.471,31.889
2015-08-05 21:00:00,29.462,31.938
2015-08-05 22:00:00,29.443,31.969
2015-08-05 23:00:00,29.434,32.161
2015-08-06 00:00:00,29.439,32.277
2015-08-06 01:00:00,29.458,32.227
2015-08-06 02:00:00,29.446,32.043
2015-08-06 03:00:00,29.451,32.126
2015-08-06 04:00:00,29.427,32.163
2015-08-06 05:00:00,29.43,32.234
2015-08-06 06:00:00,29.462,32.266
2015-08-06 07:00:00,29.433,32.226
2015-08-06 08:00:00,29.44,32.221
