time,24kum2a_an9_0005m,24kum2a_an9_0029m
2024-05-30 21:00:00,347.209,357.789
2024-05-30 22:00:00,347.175,357.409
2024-05-30 23:00:00,347.181,357.8
2024-05-31 00:00:00,347.196,357.798
2024-05-31 01:00:00,347.971,357.42
2024-05-31 02:00:00,347.992,358.209
2024-05-31 03:00:00,348.734,358.226
2024-05-31 04:00:00,349.556,358.232
2024-05-31 05:00:00,349.909,359.029
2024-05-31 06:00:00,350.73,359.051
2024-05-31 07:00:00,351.564,359.051
2024-05-31 08:00:00,351.09,359.443
2024-05-31 09:00:00,350.899,359.05
2024-05-31 10:00:00,350.446,358.268
2024-05-31 11:00:00,350.004,357.854
2024-05-31 12:00:00,348.481,357.848
2024-05-31 13:00:00,347.758,357.84
2024-05-31 14:00:00,347.654,357.822
2024-05-31 15:00:00,347.322,357.442
2024-05-31 16:00:00,347.229,357.838
2024-05-31 17:00:00,347.697,357.851
2024-05-31 18:00:00,348.1,358.252
2024-05-31 19:00:00,348.499,358.263
2024-05-31 20:00:00,348.079,358.268
2024-05-31 21:00:00,348.097,358.278
2024-05-31 22:00:00,347.313,357.886
2024-05-31 23:00:00,347.689,357.518
2024-06-01 00:00:00,347.662,357.901
2024-06-01 01:00:00,347.673,357.895
2024-06-01 02:00:00,348.041,357.909
2024-06-01 03:00:00,347.699,357.91
2024-06-01 04:00:00,348.082,357.916
2024-06-01 05:00:00,348.499,357.934
2024-06-01 06:00:00,348.903,358.335
2024-06-01 07:00:00,348.916,358.349
2024-06-01 08:00:00,348.933,358.362
2024-06-01 09:00:00,348.569,358.368
2024-06-01 10:00:00,348.57,357.97
2024-06-01 11:00:00,348.172,357.568
2024-06-01 12:00:00,347.758,357.168
2024-06-01 13:00:00,347.325,357.148
2024-06-01 14:00:00,346.527,356.751
2024-06-01 15:00:00,346.14,356.352
2024-06-01 16:00:00,346.095,356.349
2024-06-01 17:00:00,346.12,356.359
2024-06-01 18:00:00,346.927,356.381
2024-06-01 19:00:00,347.718,357.18
2024-06-01 20:00:00,348.124,357.196
2024-06-01 21:00:00,348.538,357.599
2024-06-01 22:00:00,349.005,357.615
2024-06-01 23:00:00,348.981,358.007
2024-06-02 00:00:00,348.551,358.016
2024-06-02 01:00:00,348.198,357.999
2024-06-02 02:00:00,348.156,357.594
2024-06-02 03:00:00,348.435,357.611
2024-06-02 04:00:00,349.048,357.993
2024-06-02 05:00:00,347.908,357.974
2024-06-02 06:00:00,349.06,357.98
2024-06-02 07:00:00,348.32,358.376
2024-06-02 08:00:00,348.886,358.386
2024-06-02 09:00:00,348.89,358.39
2024-06-02 10:00:00,348.997,358.391
2024-06-02 11:00:00,348.619,358.005
2024-06-02 12:00:00,347.993,357.623
2024-06-02 13:00:00,348.692,357.614
2024-06-02 14:00:00,346.955,357.213
2024-06-02 15:00:00,347.071,356.811
2024-06-02 16:00:00,346.407,356.402
2024-06-02 17:00:00,346.608,356.4
2024-06-02 18:00:00,346.941,356.424
2024-06-02 19:00:00,347.732,356.818
2024-06-02 20:00:00,348.541,357.617
2024-06-02 21:00:00,348.9,358.032
2024-06-02 22:00:00,350.264,358.834
2024-06-02 23:00:00,350.767,359.256
2024-06-03 00:00:00,350.205,359.276
2024-06-03 01:00:00,350.007,359.273
2024-06-03 02:00:00,349.408,358.484
2024-06-03 03:00:00,349.047,358.448
2024-06-03 04:00:00,348.361,358.831
2024-06-03 05:00:00,348.221,358.057
2024-06-03 06:00:00,347.115,358.036
2024-06-03 07:00:00,347.604,357.648
2024-06-03 08:00:00,347.13,357.659
2024-06-03 09:00:00,347.545,358.051
2024-06-03 10:00:00,347.119,357.663
2024-06-03 11:00:00,346.737,357.275
2024-06-03 12:00:00,345.996,357.281
2024-06-03 13:00:00,345.601,356.524
2024-06-03 14:00:00,345.235,356.12
2024-06-03 15:00:00,344.452,356.093
2024-06-03 16:00:00,344.43,355.706
2024-06-03 17:00:00,344.044,355.731
2024-06-03 18:00:00,344.072,355.74
2024-06-03 19:00:00,344.849,356.549
2024-06-03 20:00:00,345.269,356.576
2024-06-03 21:00:00,346.1,357.768
2024-06-03 22:00:00,346.903,357.86
2024-06-03 23:00:00,346.456,356.7
2024-06-04 00:00:00,344.561,356.265
2024-06-04 01:00:00,344.611,355.853
2024-06-04 02:00:00,344.229,355.813
2024-06-04 03:00:00,343.439,355.771
2024-06-04 04:00:00,343.748,354.691
2024-06-04 05:00:00,344.507,354.754
2024-06-04 06:00:00,346.059,356.337
2024-06-04 07:00:00,344.921,355.198
2024-06-04 08:00:00,344.514,354.404
2024-06-04 09:00:00,344.126,354.015
2024-06-04 10:00:00,343.748,354.409
2024-06-04 11:00:00,343.768,354.042
2024-06-04 12:00:00,343.769,354.43
2024-06-04 13:00:00,343.372,353.648
2024-06-04 14:00:00,342.195,352.07
2024-06-04 15:00:00,340.985,351.248
2024-06-04 16:00:00,340.57,350.83
2024-06-04 17:00:00,340.185,350.05
2024-06-04 18:00:00,339.801,350.062
2024-06-04 19:00:00,340.18,350.046
2024-06-04 20:00:00,340.171,350.435
2024-06-04 21:00:00,341.002,350.867
2024-06-04 22:00:00,341.851,351.326
2024-06-04 23:00:00,343.057,352.924
2024-06-05 00:00:00,343.087,352.945
2024-06-05 01:00:00,341.95,352.196
2024-06-05 02:00:00,341.946,352.206
2024-06-05 03:00:00,342.687,352.549
2024-06-05 04:00:00,343.022,352.509
2024-06-05 05:00:00,342.615,351.313
2024-06-05 06:00:00,340.641,350.127
2024-06-05 07:00:00,340.623,350.099
2024-06-05 08:00:00,341.077,350.54
2024-06-05 09:00:00,341.472,351.35
2024-06-05 10:00:00,341.486,351.755
2024-06-05 11:00:00,341.101,351.376
2024-06-05 12:00:00,341.098,350.968
2024-06-05 13:00:00,339.91,350.162
2024-06-05 14:00:00,339.104,349.741
2024-06-05 15:00:00,339.058,349.321
2024-06-05 16:00:00,338.644,348.518
2024-06-05 17:00:00,338.238,348.094
2024-06-05 18:00:00,338.609,347.708
2024-06-05 19:00:00,338.591,347.7
2024-06-05 20:00:00,339.86,348.507
2024-06-05 21:00:00,341.438,349.346
2024-06-05 22:00:00,343.045,350.551
2024-06-05 23:00:00,343.097,351.782
2024-06-06 00:00:00,342.403,351.441
2024-06-06 01:00:00,341.57,351.082
2024-06-06 02:00:00,341.617,351.068
2024-06-06 03:00:00,341.985,350.673
2024-06-06 04:00:00,342.332,351.436
2024-06-06 05:00:00,342.7,351.784
2024-06-06 06:00:00,342.635,351.761
2024-06-06 07:00:00,342.236,351.734
2024-06-06 08:00:00,341.088,351.336
2024-06-06 09:00:00,341.02,350.942
2024-06-06 10:00:00,341.16,350.984
2024-06-06 11:00:00,341.147,350.999
2024-06-06 12:00:00,340.767,350.604
2024-06-06 13:00:00,340.368,350.588
2024-06-06 14:00:00,340.341,350.175
2024-06-06 15:00:00,340.314,349.764
2024-06-06 16:00:00,339.906,348.97
2024-06-06 17:00:00,339.097,348.961
2024-06-06 18:00:00,339.461,348.949
2024-06-06 19:00:00,339.462,348.95
2024-06-06 20:00:00,340.268,348.97
2024-06-06 21:00:00,341.126,349.768
2024-06-06 22:00:00,341.94,350.194
2024-06-06 23:00:00,342.02,350.646
2024-06-07 00:00:00,341.749,350.708
2024-06-07 01:00:00,341.656,351.114
2024-06-07 02:00:00,341.244,351.12
2024-06-07 03:00:00,341.637,350.732
2024-06-07 04:00:00,341.205,350.731
2024-06-07 05:00:00,341.217,350.335
2024-06-07 06:00:00,341.994,350.695
2024-06-07 07:00:00,341.206,350.694
2024-06-07 08:00:00,341.567,351.068
2024-06-07 09:00:00,341.57,351.463
2024-06-07 10:00:00,341.552,351.443
2024-06-07 11:00:00,341.169,351.446
2024-06-07 12:00:00,341.187,351.056
2024-06-07 13:00:00,341.178,351.058
2024-06-07 14:00:00,340.805,351.057
2024-06-07 15:00:00,340.417,350.29
2024-06-07 16:00:00,339.607,349.861
2024-06-07 17:00:00,338.775,348.277
2024-06-07 18:00:00,337.563,347.052
2024-06-07 19:00:00,337.175,347.031
2024-06-07 20:00:00,337.569,347.043
2024-06-07 21:00:00,338.36,347.448
2024-06-07 22:00:00,338.845,348.289
2024-06-07 23:00:00,340.091,348.738
2024-06-08 00:00:00,340.079,349.2
2024-06-08 01:00:00,340.135,349.592
2024-06-08 02:00:00,340.138,350.001
2024-06-08 03:00:00,340.099,349.61
2024-06-08 04:00:00,340.076,349.582
2024-06-08 05:00:00,340.462,349.584
2024-06-08 06:00:00,340.078,349.574
2024-06-08 07:00:00,339.695,349.184
2024-06-08 08:00:00,339.728,349.222
2024-06-08 09:00:00,339.708,349.207
2024-06-08 10:00:00,338.922,348.798
2024-06-08 11:00:00,339.731,348.815
2024-06-08 12:00:00,339.749,349.614
2024-06-08 13:00:00,339.756,349.629
2024-06-08 14:00:00,339.366,349.211
2024-06-08 15:00:00,338.984,348.41
2024-06-08 16:00:00,337.755,347.221
2024-06-08 17:00:00,337.734,346.796
2024-06-08 18:00:00,337.724,346.771
2024-06-08 19:00:00,337.272,346.379
2024-06-08 20:00:00,337.69,346.375
2024-06-08 21:00:00,338.086,346.78
2024-06-08 22:00:00,338.512,347.218
2024-06-08 23:00:00,338.957,347.643
2024-06-09 00:00:00,338.97,348.03
2024-06-09 01:00:00,339.378,347.671
2024-06-09 02:00:00,338.99,348.081
2024-06-09 03:00:00,338.593,348.084
2024-06-09 04:00:00,338.546,347.652
2024-06-09 05:00:00,338.538,348.437
2024-06-09 06:00:00,338.54,348.027
2024-06-09 07:00:00,338.198,347.683
2024-06-09 08:00:00,338.21,347.693
2024-06-09 09:00:00,338.243,347.722
2024-06-09 10:00:00,337.467,347.32
2024-06-09 11:00:00,337.478,346.9
2024-06-09 12:00:00,337.478,346.914
2024-06-09 13:00:00,337.869,346.919
2024-06-09 14:00:00,337.893,346.923
2024-06-09 15:00:00,337.515,346.527
2024-06-09 16:00:00,337.114,346.121
2024-06-09 17:00:00,337.127,345.719
2024-06-09 18:00:00,336.709,345.739
2024-06-09 19:00:00,336.643,345.365
2024-06-09 20:00:00,336.246,345.749
2024-06-09 21:00:00,337.049,346.522
2024-06-09 22:00:00,337.069,346.502
2024-06-09 23:00:00,337.824,346.519
2024-06-10 00:00:00,337.892,346.15
2024-06-10 01:00:00,337.938,346.174
2024-06-10 02:00:00,337.075,346.578
2024-06-10 03:00:00,337.542,346.921
2024-06-10 04:00:00,337.943,346.918
2024-06-10 05:00:00,337.586,346.541
2024-06-10 06:00:00,337.529,346.927
2024-06-10 07:00:00,337.506,346.896
2024-06-10 08:00:00,337.082,346.525
2024-06-10 09:00:00,336.34,346.184
2024-06-10 10:00:00,336.407,345.874
2024-06-10 11:00:00,336.433,345.897
2024-06-10 12:00:00,336.468,345.921
2024-06-10 13:00:00,336.476,345.936
2024-06-10 14:00:00,336.475,346.331
2024-06-10 15:00:00,336.875,345.96
2024-06-10 16:00:00,336.858,345.97
2024-06-10 17:00:00,336.875,345.566
2024-06-10 18:00:00,336.454,345.148
2024-06-10 19:00:00,336.427,344.723
