time,24kum2a_s37_0002m,24kum2a_s37_0030m
2024-06-01 06:00:00,31.228,31.243
2024-06-01 07:00:00,31.218,31.237
2024-06-01 08:00:00,31.211,31.234
2024-06-01 09:00:00,31.205,31.234
2024-06-01 10:00:00,31.208,31.239
2024-06-01 11:00:00,31.212,31.244
2024-06-01 12:00:00,31.225,31.25
2024-06-01 13:00:00,31.241,31.259
2024-06-01 14:00:00,31.257,31.268
2024-06-01 15:00:00,31.263,31.279
2024-06-01 16:00:00,31.271,31.283
2024-06-01 17:00:00,31.261,31.276
2024-06-01 18:00:00,31.241,31.263
2024-06-01 19:00:00,31.232,31.254
2024-06-01 20:00:00,31.226,31.249
2024-06-01 21:00:00,31.212,31.24
2024-06-01 22:00:00,31.202,31.228
2024-06-01 23:00:00,31.146,31.223
2024-06-02 00:00:00,31.191,31.228
2024-06-02 01:00:00,31.254,31.239
2024-06-02 02:00:00,31.243,31.246
2024-06-02 03:00:00,31.242,31.243
2024-06-02 04:00:00,31.216,31.242
2024-06-02 05:00:00,31.271,31.249
2024-06-02 06:00:00,31.119,31.249
2024-06-02 07:00:00,31.278,31.246
2024-06-02 08:00:00,31.237,31.242
2024-06-02 09:00:00,31.282,31.241
2024-06-02 10:00:00,31.179,31.241
2024-06-02 11:00:00,31.206,31.24
2024-06-02 12:00:00,31.229,31.24
2024-06-02 13:00:00,31.174,31.245
2024-06-02 14:00:00,31.26,31.251
2024-06-02 15:00:00,31.253,31.257
2024-06-02 16:00:00,31.296,31.266
2024-06-02 17:00:00,31.256,31.27
2024-06-02 18:00:00,31.272,31.265
2024-06-02 19:00:00,31.264,31.256
2024-06-02 20:00:00,31.24,31.246
2024-06-02 21:00:00,31.187,31.234
2024-06-02 22:00:00,31.22,31.215
2024-06-02 23:00:00,31.109,31.197
2024-06-03 00:00:00,31.226,31.193
2024-06-03 01:00:00,31.141,31.198
2024-06-03 02:00:00,31.187,31.21
2024-06-03 03:00:00,31.199,31.223
2024-06-03 04:00:00,31.203,31.232
2024-06-03 05:00:00,31.21,31.237
2024-06-03 06:00:00,31.238,31.249
2024-06-03 07:00:00,31.188,31.253
2024-06-03 08:00:00,31.207,31.248
2024-06-03 09:00:00,31.202,31.246
2024-06-03 10:00:00,31.208,31.248
2024-06-03 11:00:00,31.204,31.249
2024-06-03 12:00:00,31.201,31.244
2024-06-03 13:00:00,31.2,31.244
2024-06-03 14:00:00,31.194,31.252
2024-06-03 15:00:00,31.202,31.259
2024-06-03 16:00:00,31.209,31.259
2024-06-03 17:00:00,31.205,31.253
2024-06-03 18:00:00,31.2,31.243
2024-06-03 19:00:00,31.191,31.229
2024-06-03 20:00:00,31.177,31.212
2024-06-03 21:00:00,31.149,31.191
2024-06-03 22:00:00,31.15,31.17
2024-06-03 23:00:00,31.176,31.189
2024-06-04 00:00:00,31.173,31.204
2024-06-04 01:00:00,31.16,31.214
2024-06-04 02:00:00,31.167,31.229
2024-06-04 03:00:00,31.184,31.24
2024-06-04 04:00:00,31.208,31.227
2024-06-04 05:00:00,31.187,31.202
2024-06-04 06:00:00,31.174,31.185
2024-06-04 07:00:00,31.175,31.186
2024-06-04 08:00:00,31.182,31.193
2024-06-04 09:00:00,31.181,31.193
2024-06-04 10:00:00,31.178,31.189
2024-06-04 11:00:00,31.17,31.181
2024-06-04 12:00:00,31.166,31.177
2024-06-04 13:00:00,31.174,31.185
2024-06-04 14:00:00,31.195,31.207
2024-06-04 15:00:00,31.215,31.227
2024-06-04 16:00:00,31.224,31.238
2024-06-04 17:00:00,31.226,31.24
2024-06-04 18:00:00,31.228,31.241
2024-06-04 19:00:00,31.231,31.243
2024-06-04 20:00:00,31.223,31.237
2024-06-04 21:00:00,31.188,31.207
2024-06-04 22:00:00,31.16,31.178
2024-06-04 23:00:00,31.145,31.161
2024-06-05 00:00:00,31.144,31.156
2024-06-05 01:00:00,31.147,31.159
2024-06-05 02:00:00,31.149,31.161
2024-06-05 03:00:00,31.156,31.167
2024-06-05 04:00:00,31.165,31.177
2024-06-05 05:00:00,31.182,31.195
2024-06-05 06:00:00,31.207,31.218
2024-06-05 07:00:00,31.196,31.221
2024-06-05 08:00:00,31.177,31.201
2024-06-05 09:00:00,31.169,31.183
2024-06-05 10:00:00,31.166,31.178
2024-06-05 11:00:00,31.165,31.178
2024-06-05 12:00:00,31.169,31.19
2024-06-05 13:00:00,31.183,31.207
2024-06-05 14:00:00,31.198,31.22
2024-06-05 15:00:00,31.222,31.234
2024-06-05 16:00:00,31.237,31.252
2024-06-05 17:00:00,31.251,31.264
2024-06-05 18:00:00,31.254,31.268
2024-06-05 19:00:00,31.252,31.262
2024-06-05 20:00:00,31.208,31.238
2024-06-05 21:00:00,31.181,31.208
2024-06-05 22:00:00,31.165,31.181
2024-06-05 23:00:00,31.181,31.164
2024-06-06 00:00:00,31.168,31.158
2024-06-06 01:00:00,31.131,31.153
2024-06-06 02:00:00,31.137,31.155
2024-06-06 03:00:00,31.144,31.159
2024-06-06 04:00:00,31.182,31.168
2024-06-06 05:00:00,31.195,31.182
2024-06-06 06:00:00,31.186,31.192
2024-06-06 07:00:00,31.193,31.196
2024-06-06 08:00:00,31.177,31.206
2024-06-06 09:00:00,31.216,31.209
2024-06-06 10:00:00,31.18,31.2
2024-06-06 11:00:00,31.175,31.196
2024-06-06 12:00:00,31.173,31.2
2024-06-06 13:00:00,31.182,31.208
2024-06-06 14:00:00,31.188,31.218
2024-06-06 15:00:00,31.19,31.228
2024-06-06 16:00:00,31.208,31.236
2024-06-06 17:00:00,31.232,31.244
2024-06-06 18:00:00,31.238,31.248
2024-06-06 19:00:00,31.233,31.246
2024-06-06 20:00:00,31.229,31.237
2024-06-06 21:00:00,31.201,31.225
2024-06-06 22:00:00,31.181,31.202
2024-06-06 23:00:00,31.153,31.177
2024-06-07 00:00:00,31.135,31.158
2024-06-07 01:00:00,31.146,31.153
2024-06-07 02:00:00,31.153,31.158
2024-06-07 03:00:00,31.157,31.168
