time,24bspr2a_met_telos,24bspr2a_rcmsg_0052m,24bspr2a_s16_0001m,24bspr2a_s37_0053m
2024-06-03 17:00:00,3.6,2.578,3.895,2.59
2024-06-03 18:00:00,3.41,2.574,3.741,2.598
2024-06-03 19:00:00,3.19,2.558,3.879,2.588
2024-06-03 20:00:00,2.92,2.529,3.798,2.537
2024-06-03 21:00:00,2.89,2.448,3.808,2.486
2024-06-03 22:00:00,2.69,2.373,3.918,2.406
2024-06-03 23:00:00,2.74,2.36,3.956,2.396
2024-06-04 00:00:00,2.83,2.35,3.977,2.38
2024-06-04 01:00:00,2.74,2.362,3.938,2.379
2024-06-04 02:00:00,2.68,2.391,3.856,2.414
2024-06-04 03:00:00,2.59,2.39,3.721,2.408
2024-06-04 04:00:00,2.49,2.414,3.626,2.429
2024-06-04 05:00:00,2.23,2.472,3.54,2.489
2024-06-04 06:00:00,2.27,2.524,3.553,2.522
2024-06-04 07:00:00,2.19,2.564,3.57,2.579
2024-06-04 08:00:00,2.19,2.558,3.566,2.582
2024-06-04 09:00:00,1.5,2.546,3.558,2.582
2024-06-04 10:00:00,1.01,2.526,3.53,2.549
2024-06-04 11:00:00,1.66,2.548,3.535,2.572
2024-06-04 12:00:00,1.6,2.571,3.538,2.592
2024-06-04 13:00:00,1.68,2.624,3.468,2.64
2024-06-04 14:00:00,1.26,2.656,3.379,2.681
2024-06-04 15:00:00,1.34,2.665,3.31,2.686
2024-06-04 16:00:00,1.42,2.672,3.282,2.694
2024-06-04 17:00:00,0.88,2.678,3.305,2.704
2024-06-04 18:00:00,0.82,2.67,3.383,2.697
2024-06-04 19:00:00,0.96,2.646,3.46,2.682
2024-06-04 20:00:00,0.83,2.55,3.512,2.59
2024-06-04 21:00:00,0.94,2.464,3.532,2.486
2024-06-04 22:00:00,1.15,2.403,3.538,2.437
2024-06-04 23:00:00,1.39,2.403,3.608,2.425
2024-06-05 00:00:00,1.38,2.436,3.632,2.451
2024-06-05 01:00:00,1.27,2.474,3.619,2.505
2024-06-05 02:00:00,1.36,2.498,3.547,2.52
2024-06-05 03:00:00,1.72,2.5,3.484,2.526
2024-06-05 04:00:00,1.63,2.464,3.443,2.482
2024-06-05 05:00:00,1.615,2.472,3.464,2.485
2024-06-05 06:00:00,1.6,2.558,3.476,2.567
2024-06-05 07:00:00,1.59,2.602,3.5,2.621
2024-06-05 08:00:00,1.31,2.614,3.505,2.63
2024-06-05 09:00:00,1.19,2.617,3.498,2.64
2024-06-05 10:00:00,0.78,2.608,3.494,2.636
2024-06-05 11:00:00,0.48,2.601,3.494,2.618
2024-06-05 12:00:00,0.53,2.607,3.486,2.63
2024-06-05 13:00:00,0.69,2.641,3.473,2.66
2024-06-05 14:00:00,0.42,2.656,3.442,2.686
2024-06-05 15:00:00,0.74,2.656,3.404,2.683
2024-06-05 16:00:00,0.79,2.67,3.353,2.693
2024-06-05 17:00:00,0.61,2.67,3.34,2.696
2024-06-05 18:00:00,0.81,2.673,3.388,2.701
2024-06-05 19:00:00,1.07,2.672,3.43,2.695
2024-06-05 20:00:00,1.26,2.569,3.53,2.627
2024-06-05 21:00:00,1.17,2.456,3.576,2.488
2024-06-05 22:00:00,1.12,2.433,3.672,2.465
